               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 130,              1.5776,              1.0323,              1.5253,             0.55669,             0.24254,             0.28581,             0.13072,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,              1.5779,             0.99283,               1.496,             0.84298,              0.5955,             0.68684,             0.34885,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,               1.618,              1.0583,              1.5206,             0.81771,             0.65578,             0.69254,             0.36879,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,              1.5824,               1.018,              1.5163,             0.11345,            0.022123,            0.057651,            0.019114,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,              1.5616,              1.0162,              1.5056,              0.3473,             0.10716,             0.13338,            0.049068,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,              1.5368,             0.98123,              1.5026,             0.79669,             0.65954,             0.70181,             0.37352,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,              1.5715,             0.99676,              1.4942,               0.809,             0.69889,             0.73196,             0.37659,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,              1.5796,             0.98726,              1.4824,             0.77812,             0.62269,             0.64904,             0.34462,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,              1.5587,               1.009,              1.5169,             0.78285,             0.69217,             0.70234,             0.36598,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              1.5577,             0.99658,              1.5036,             0.80496,             0.71301,             0.73704,             0.39483,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,               1.608,              1.0231,              1.5338,              0.6506,             0.34182,             0.37109,             0.17047,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,              1.6084,              1.0419,              1.5132,             0.77963,             0.43142,             0.51174,             0.26658,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,              1.5622,              1.0122,              1.5152,             0.11788,             0.03261,            0.063563,            0.030489,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,              1.5504,              1.0008,              1.5082,             0.83005,             0.72991,             0.75979,             0.39427,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,              1.5569,             0.98071,              1.4912,             0.78527,             0.59568,             0.65511,             0.32835,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,              1.5415,               1.022,              1.4973,              0.6654,             0.30887,             0.34893,             0.16927,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,              1.5452,             0.98333,              1.4952,             0.83574,             0.70348,             0.74056,             0.40206,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,              1.5274,             0.97491,              1.5018,             0.19528,               0.231,             0.18554,            0.069745,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,              1.5603,              1.0024,              1.5059,             0.44624,             0.28947,             0.32758,             0.15396,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
