                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.0331,                0.59908,                 1.1045,                 0.7911,                 0.7924,                0.82314,                0.43068,                  1.434,                0.74975,                 1.3256,             0.00068906,             0.00068906,             0.00068906
                    107,                 1.0528,                0.61258,                 1.1217,                0.77496,                0.83952,                0.85624,                0.44574,                 1.3721,                0.71023,                 1.3009,              0.0006883,              0.0006883,              0.0006883
                    108,                 1.0217,                0.59701,                 1.1083,                0.85327,                0.83848,                0.84245,                0.43066,                 1.3803,                0.75461,                   1.31,             0.00068754,             0.00068754,             0.00068754
                    109,                 1.0241,                0.59365,                  1.109,                0.80666,                 0.7938,                0.83618,                0.42109,                   1.43,                0.74609,                 1.3276,             0.00068678,             0.00068678,             0.00068678
                    110,                 1.0114,                0.58233,                 1.0924,                0.80832,                0.84926,                0.85828,                0.44414,                 1.4135,                0.72259,                 1.3237,             0.00068602,             0.00068602,             0.00068602
                    111,                 1.0224,                0.59193,                 1.1114,                0.76456,                0.82694,                0.83473,                0.43548,                 1.4138,                0.72644,                 1.3508,             0.00068526,             0.00068526,             0.00068526
                    112,                  1.055,                0.60515,                 1.1092,                0.80463,                0.74394,                0.79823,                0.43795,                 1.4004,                0.74027,                 1.3583,             0.00068449,             0.00068449,             0.00068449
                    113,                0.99561,                0.57672,                 1.0833,                0.76732,                0.58493,                0.66684,                0.32153,                 1.6712,                 1.1553,                 1.5177,             0.00068373,             0.00068373,             0.00068373
                    114,                  1.012,                0.58654,                  1.091,                0.81195,                0.80948,                0.84079,                0.43484,                   1.38,                0.72884,                 1.3063,             0.00068297,             0.00068297,             0.00068297
                    115,                0.99054,                 0.5706,                 1.0824,                0.78306,                0.80224,                0.82018,                0.41722,                 1.4148,                0.74402,                 1.3338,             0.00068221,             0.00068221,             0.00068221
                    116,                0.98798,                0.57443,                 1.0791,                0.85853,                0.83283,                0.84646,                0.44541,                 1.3755,                0.69939,                 1.3063,             0.00068145,             0.00068145,             0.00068145
                    117,                0.98468,                0.56748,                 1.0785,                0.83921,                0.81255,                0.80374,                0.43588,                 1.3727,                0.68721,                  1.306,             0.00068069,             0.00068069,             0.00068069
                    118,                0.98894,                 0.5693,                 1.0726,                0.84252,                0.81401,                0.83158,                0.42565,                 1.4164,                0.74571,                 1.3384,             0.00067993,             0.00067993,             0.00067993
                    119,                0.96526,                0.55536,                 1.0718,                0.82561,                0.79206,                0.82946,                0.42915,                 1.4458,                0.72955,                 1.3504,             0.00067917,             0.00067917,             0.00067917
                    120,                0.99371,                 0.5677,                 1.0814,                0.81017,                0.81343,                0.82585,                0.42516,                 1.4151,                0.69584,                 1.3227,              0.0006784,              0.0006784,              0.0006784
                    121,                0.98357,                0.56056,                 1.0756,                0.78778,                0.83569,                0.82404,                0.40929,                 1.4946,                0.73659,                 1.3594,             0.00067764,             0.00067764,             0.00067764
                    122,                 0.9802,                0.55964,                 1.0783,                0.87036,                0.80883,                0.83573,                0.43572,                  1.388,                0.71284,                 1.3113,             0.00067688,             0.00067688,             0.00067688
                    123,                0.98205,                0.55672,                 1.0766,                0.87078,                0.74221,                0.82277,                0.42275,                 1.4249,                 0.7183,                 1.3343,             0.00067612,             0.00067612,             0.00067612
                    124,                 0.9625,                0.55616,                 1.0641,                0.88686,                0.78116,                0.83523,                0.44897,                 1.4331,                0.70557,                 1.3398,             0.00067536,             0.00067536,             0.00067536
                    125,                0.96371,                 0.5484,                 1.0639,                0.90938,                0.77671,                0.81422,                0.43602,                 1.4027,                0.68944,                  1.316,              0.0006746,              0.0006746,              0.0006746
                    126,                0.95029,                0.54293,                 1.0593,                 0.8495,                0.78191,                0.83494,                0.44971,                 1.3902,                0.70137,                 1.3403,             0.00067384,             0.00067384,             0.00067384
                    127,                0.92161,                0.53074,                 1.0458,                0.89271,                 0.8148,                  0.838,                0.43705,                 1.4163,                0.70365,                 1.3274,             0.00067307,             0.00067307,             0.00067307
                    128,                0.95604,                0.54634,                 1.0531,                0.85284,                0.81976,                0.83745,                0.41034,                 1.4401,                0.72199,                 1.3367,             0.00067231,             0.00067231,             0.00067231
                    129,                0.98679,                0.55557,                 1.0741,                 0.8514,                0.84031,                 0.8531,                0.44618,                 1.3981,                0.65833,                 1.3167,             0.00067155,             0.00067155,             0.00067155
                    130,                0.95168,                0.54381,                 1.0647,                0.87615,                 0.7948,                0.83436,                 0.4451,                 1.4071,                0.71294,                 1.3421,             0.00067079,             0.00067079,             0.00067079
                    131,                0.91479,                0.52758,                 1.0494,                0.82426,                  0.796,                0.83007,                0.43858,                 1.3765,                0.68035,                 1.3204,             0.00067003,             0.00067003,             0.00067003
                    132,                0.95073,                0.53951,                 1.0631,                0.78403,                0.80619,                0.80677,                0.42979,                 1.4043,                0.71581,                 1.3419,             0.00066927,             0.00066927,             0.00066927
                    133,                 0.9421,                0.53552,                 1.0576,                0.84787,                0.81214,                0.83618,                0.43567,                 1.4114,                0.72786,                 1.3272,             0.00066851,             0.00066851,             0.00066851
